eventType,location,startTime,homeTeam,visitingTeam,endTime,description,googleEventId
Game,Chaldecott Park N diamond,05/25/2025 12:30:00,VCB 13U AAA,SOMBA,05/25/2025 14:30:00,,hj646t6mp3ao8p2d4rsihgtbsk
Game,Chaldecott Park N diamond,05/25/2025 18:00:00,VCB 15U Expos,VCB 15U Rockies,05/25/2025 20:00:00,,ij0nv8k7bseeo7uqgdjk4ehsbo
Practice,Chaldecott Park N diamond,05/28/2025 18:00:00,VCB 15U Dodgers,,05/28/2025 19:30:00,Practice,3jcihlmvefaq2oemrb5r6idgjo
Practice,Chaldecott Park N diamond,05/28/2025 18:00:00,VCB 15U Expos,,05/28/2025 19:30:11,VCB 15U Expos Baseball Practice,66qo6b9effv65fl8csbo53gf40
Game,Chaldecott Park N diamond,05/31/2025 12:00:00,VCB 16U White Sox,VCB 15U Rockies,05/31/2025 14:00:00,,qb40g5161j4cev5dfkk2lokvqg
Game,Chaldecott Park N diamond,05/31/2025 15:00:00,VCB 16U Red Sox-Girls,VCB 15U A's,05/31/2025 17:00:00,,aggh54n8bvi7k6jgn5ku9n00u0
Game,Chaldecott Park N diamond,06/01/2025 12:00:00,VCB 16U Red Sox-Girls,VCB 15U Mariners,06/01/2025 14:00:00,,iuur6ivl27rdekhphd2cbto2o8
Game,Chaldecott Park N diamond,06/01/2025 15:00:00,VCB 15U Red Sox,VCB 15U Rockies,06/01/2025 17:00:00,,hnkk17uedakmpdqnp856212g5s
Practice,Chaldecott Park N diamond,06/04/2025 18:00:00,VCB 15U Dodgers,,06/04/2025 19:30:00,Practice,aruipgcampcl72t4i7ocavktho
Practice,Chaldecott Park N diamond,06/04/2025 18:00:00,VCB 15U Expos,,06/04/2025 19:30:11,VCB 15U Expos Baseball Practice,5c69kt3obl5od7jugce7btgcqg
Game,Chaldecott Park N diamond,06/07/2025 12:00:00,VCB 15U Dodgers,VCB 15U Expos,06/07/2025 14:00:00,,07hgiidnjqfsbk4h6grjnhe6gc
Game,Chaldecott Park N diamond,06/07/2025 15:00:00,VCB 15U Yankees,VCB 16U Red Sox-Girls,06/07/2025 17:00:00,,3b1f3141nfu2v3idph86c7qsu0
Game,Chaldecott Park N diamond,06/07/2025 18:00:00,VCB 15U Blue Jays,VCB 15U Red Sox,06/07/2025 20:00:00,,krtme4go52l98jhup50424s22s
Game,Chaldecott Park N diamond,06/08/2025 10:00:00,VCB 13U AAA,Cloverdale,06/08/2025 12:00:00,,npca8n8jga7n2pgvpm72re9gn0
Game,Chaldecott Park N diamond,06/08/2025 12:30:00,VCB 13U AAA,Cloverdale,06/08/2025 14:30:00,,20kjn7ojssrl9diblb8ljat3pg
Game,Chaldecott Park N diamond,06/08/2025 15:00:00,VCB 15U Red Sox,VCB 15U A's,06/08/2025 17:00:00,,k8bbrmto8qiok4gedft8v9afe8
Game,Chaldecott Park N diamond,06/08/2025 18:00:00,VCB 15U Expos,VCB 15U Yankees,06/08/2025 20:00:00,,i4vg9f1901ijnbpi1gkfj8i54g
Practice,Chaldecott Park N diamond,06/11/2025 18:00:00,VCB 15U Expos,,06/11/2025 19:30:11,VCB 15U Expos Baseball Practice,ilt9ipn76nfllksece363kg8ik
Game,Chaldecott Park N diamond,06/22/2025 10:00:00,VCB 13U AAA,White Rock,06/22/2025 12:00:00,,ask0h04kvdrg56pl327rs4l61g
Game,Chaldecott Park N diamond,06/22/2025 12:30:00,VCB 13U AAA,White Rock,06/22/2025 14:30:00,,7df004179e5hc8kin2njtjv7j4
Practice,Chaldecott Park S diamond,03/31/2025 16:30:00,VCB 13U AAA,,03/31/2025 18:00:00,Team Practice,1fduspmu5nhvfdu8117v7mn5gk
Practice,Chaldecott Park S diamond,04/01/2025 18:30:00,VCB 13U AA,,04/01/2025 20:00:05,Practice,pt9q7caaonnvbfo1dlcol9167o
Practice,Chaldecott Park S diamond,04/03/2025 17:00:00,VCB 13U AA,,04/03/2025 18:30:58,Practice,ktgeb6c04pamcajaollm2sr7v8
Practice,Chaldecott Park S diamond,04/07/2025 16:30:00,VCB 13U AAA,,04/07/2025 18:00:00,Team Practice,h0d9btkbstgqf4526smi3j4p1k
Practice,Chaldecott Park S diamond,04/08/2025 18:30:00,VCB 13U AA,,04/08/2025 20:00:29,Practice,k3l8u9iavf4euc0qoh723n439s
Practice,Chaldecott Park S diamond,04/10/2025 17:00:00,VCB 13U AA,,04/10/2025 18:30:55,Practice,s02ukebapg0j8up5h78tj8k3ls
Practice,Chaldecott Park S diamond,04/15/2025 18:30:00,VCB 13U AA,,04/15/2025 20:00:50,Practice,9qbi93k86kn1prf0709mcka1m0
Practice,Chaldecott Park S diamond,04/22/2025 16:30:00,VCB 13U AAA,,04/22/2025 18:00:00,Team Practice,9t844itmsivfialdrkfedgflp4
Practice,Chaldecott Park S diamond,04/22/2025 18:30:00,VCB 13U AA,,04/22/2025 20:00:09,Practice,tlss1rn0441tp77s58ftdn0rt8
Practice,Chaldecott Park S diamond,04/29/2025 18:00:00,VCB 13U AA,,04/29/2025 19:30:16,Practice,c6drn1811lvbjsv7bpv7vn0ers
Practice,Chaldecott Park S diamond,05/01/2025 17:00:00,VCB 13U AA,,05/01/2025 18:30:40,Practice,l9vvi8pku79d4t4qfbq7vrqkcc
Practice,Chaldecott Park S diamond,05/06/2025 16:30:00,VCB 13U AAA,,05/06/2025 18:00:00,Team Practice,amsqdrq0uobd25qseq97cm4cb4
Practice,Chaldecott Park S diamond,05/06/2025 18:30:00,VCB 13U AA,,05/06/2025 20:00:45,Practice,mk37raeqvlvnj72lh17j4c2368
Practice,Chaldecott Park S diamond,05/20/2025 16:30:00,VCB 13U AAA,,05/20/2025 18:00:00,Team Practice,e2q8meat79t41gjq3spmvkvk3g
Practice,Chaldecott Park S diamond,06/03/2025 16:30:00,VCB 13U AAA,,06/03/2025 18:00:00,Team Practice,frqmad4subi4pt6clifk0umqjc
Practice,Chaldecott Park S diamond,06/17/2025 16:30:00,VCB 13U AAA,,06/17/2025 18:00:00,Team Practice,hqkq68ok5o8kmh2il5pl6qir8o
Practice,Chaldecott Park S diamond,07/01/2025 16:30:00,VCB 13U AAA,,07/01/2025 18:00:00,Team Practice,kqiqu3bg51pn676g1i1rjbe024
Practice,Hillcrest Park NE diamond,03/28/2025 10:00:00,VCB 15U AAA,,03/28/2025 12:00:00,Field Set up @ Hillcrest,7344tc59tjimmmjdkkqiie7db4
Practice,Hillcrest Park NE diamond,04/05/2025 10:00:00,VCB Expos 15U AA Blue,,04/05/2025 11:00:00,Fence Day,n4rjhupbbu0uob588740ohaun8
Practice,Hillcrest Park NE diamond,04/08/2025 18:15:00,VCB 15U AAA,,04/08/2025 20:15:00,Practice,77qcg78bh2tr4vsi8c2abdtkd4
Game,Hillcrest Park NE diamond,04/09/2025 17:30:00,VCB 15U Dodgers,VCB 16U Red Sox-Girls,04/09/2025 19:30:00,,1dttpou5c5lb81q7d632qjn978
Game,Hillcrest Park NE diamond,04/11/2025 17:30:00,VCB 15U A's,VCB 15U Expos,04/11/2025 19:30:00,,0tdcvq9nmctf1tbnha9b8o2g8k
Game,Hillcrest Park NE diamond,04/12/2025 11:30:00,VCB 16U White Sox,VCB 15U Yankees,04/12/2025 13:30:00,,bhk37n02m1trf6f7av2dno5kso
Game,Hillcrest Park NE diamond,04/12/2025 14:30:00,VCB 15U Blue Jays,VCB 15U Mariners,04/12/2025 16:30:00,,in2q7td7jmgr3j4ul0airfk5og
Game,Hillcrest Park NE diamond,04/12/2025 17:30:00,VCB 15U Rockies,VCB 15U Red Sox,04/12/2025 19:30:00,,rb69umarblpogf96vkuqa1e3bs
Game,Hillcrest Park NE diamond,04/13/2025 12:00:00,VCB Expos 15U AA Blue,VCB 15U AA Red,04/13/2025 14:00:00,,ab7fcb91a0jcv4f0aqdpnkv6lk
Game,Hillcrest Park NE diamond,04/13/2025 14:30:00,VCB Expos 15U AA Blue,VCB 15U AA Red,04/13/2025 16:30:00,,b8ngftf1k2figmu10616gpf93g
Game,Hillcrest Park NE diamond,04/13/2025 17:30:00,VCB 15U Yankees,VCB 15U A's,04/13/2025 19:30:00,,4r2och0leir0l6rtufuel1d22c
Practice,Hillcrest Park NE diamond,04/15/2025 18:15:00,VCB 15U AAA,,04/15/2025 20:15:00,Practice,v0ml1on5sdsa06uon2n3k3j0m0
Game,Hillcrest Park NE diamond,04/16/2025 17:30:00,VCB 15U Rockies,VCB 15U Expos,04/16/2025 19:30:00,,niql1gjo87t39luoccfold0oac
Practice,Hillcrest Park NE diamond,04/17/2025 16:15:00,VCB 15U AAA,,04/17/2025 18:15:00,Practice,elsiku74b9ud61hckkckh40mt0
Game,Hillcrest Park NE diamond,04/18/2025 17:30:00,VCB 15U Expos,VCB 15U Red Sox,04/18/2025 19:30:00,,lsgsc97h5hgalsnhio0duhp0gs
Game,Hillcrest Park NE diamond,04/19/2025 11:00:00,VCB 15U AA Red,Ladner,04/19/2025 13:00:00,,81gb6auujlv71o2vjog340sq1o
Game,Hillcrest Park NE diamond,04/19/2025 13:30:00,VCB 15U AA Red,Ladner,04/19/2025 15:30:00,,7bpfili30cpgr7acd4ovdjo98c
Game,Hillcrest Park NE diamond,04/19/2025 17:30:00,VCB 15U Mariners,VCB 16U Red Sox-Girls,04/19/2025 19:30:00,,3at37un8hqgsgbaopl6jght8q8
Game,Hillcrest Park NE diamond,04/20/2025 11:00:00,VCB Expos 15U AA Blue,Tsawwassen,04/20/2025 13:00:00,,689chvg0t5h6rnmhpctflrjb7g
Game,Hillcrest Park NE diamond,04/20/2025 13:30:00,VCB Expos 15U AA Blue,Tsawwassen,04/20/2025 15:30:00,,pptemm2jft1c132adh46s0cel0
Game,Hillcrest Park NE diamond,04/20/2025 17:30:00,VCB 16U White Sox,VCB 16U Red Sox-Girls,04/20/2025 19:30:00,,k9fmg7ao60s8ag6r6685fpd0k8
Practice,Hillcrest Park NE diamond,04/22/2025 18:15:00,VCB 15U AAA,,04/22/2025 20:15:00,Practice,3kq1f1b9usfgfl0ledcid20o2c
Game,Hillcrest Park NE diamond,04/23/2025 17:30:00,VCB 15U Rockies,VCB 16U White Sox,04/23/2025 19:30:00,,vf9im0hqcefpb7u8b02ffn8hko
Practice,Hillcrest Park NE diamond,04/24/2025 16:15:00,VCB 15U AAA,,04/24/2025 18:15:00,Practice,lpf6qrtsppbqa6oiilpkssr1co
Game,Hillcrest Park NE diamond,04/25/2025 17:30:00,VCB 15U Mariners,VCB 15U Blue Jays,04/25/2025 19:30:00,,gmjabik02lqqi78h30sfl0vrkc
Game,Hillcrest Park NE diamond,04/26/2025 10:00:00,VCB 15U AA Red,Richmond,04/26/2025 12:00:00,,odggfcq9omehb9jmshslsrobhs
Game,Hillcrest Park NE diamond,04/26/2025 12:30:00,VCB 15U AA Red,Richmond,04/26/2025 14:30:00,,ht8ljbuu204sigkt8uqak7tg3g
Game,Hillcrest Park NE diamond,04/26/2025 15:00:00,VCB 15U AAA,Victoria,04/26/2025 17:00:00,,87soogisoa4u4m99vcujj6fiog
Game,Hillcrest Park NE diamond,04/26/2025 17:30:00,VCB 15U AAA,Victoria,04/26/2025 19:30:00,,omlo7oaqpmulgaba9j0qae6mg4
Game,Hillcrest Park NE diamond,04/27/2025 10:00:00,VCB Expos 15U AA Blue,Ladner,04/27/2025 12:00:00,,9sutjdme3qdo93vkiaauco8o6o
Game,Hillcrest Park NE diamond,04/27/2025 12:30:00,VCB Expos 15U AA Blue,Ladner,04/27/2025 14:30:00,,3rgbirllgrq5eoa8nf0ap74gk0
Game,Hillcrest Park NE diamond,04/27/2025 15:00:00,VCB 15U AAA,Abbotsford,04/27/2025 17:00:00,,jjh2s7kg5q76gtqaettsn9oons
Game,Hillcrest Park NE diamond,04/27/2025 17:30:00,VCB 15U AAA,Abbotsford,04/27/2025 19:30:00,,tng07fk9ct2g3gt04ivopmeckc
Practice,Hillcrest Park NE diamond,04/29/2025 18:15:00,VCB 15U AAA,,04/29/2025 20:15:00,Practice,1r8kpcd9st1pa1ebd19bst4f08
Game,Hillcrest Park NE diamond,04/30/2025 18:00:00,VCB 15U A's,VCB 15U Red Sox,04/30/2025 20:00:00,,dh7od2iiv5h9lv75lt0baa9qvo
Practice,Hillcrest Park NE diamond,05/01/2025 16:15:00,VCB 15U AAA,,05/01/2025 18:15:00,Practice,koq15kk6v98uu0d4t1fq3ka138
